,pubmedname,twitterhandle,handlename,descrip,location,follower,friend,K-index
374,Brietta+M.+Oaks,@Brietta_Oaks,Brietta Oaks,Assistant Professor in Nutrition at University of Rhode Island. Interested in the impact of nutrition during pregnancy to address health disparities.,University of Rhode Island,41,64,0.22201453947736005
375,Brietta+M+Oaks,@Brietta_Oaks,Brietta Oaks,Assistant Professor in Nutrition at University of Rhode Island. Interested in the impact of nutrition during pregnancy to address health disparities.,University of Rhode Island,41,64,0.30352480318575764
376,Bright+I.+Nwaru,@nwabrite,Bright Nwaru,"Associate Professor, Epidemiology, University of Gothenburg, Sweden",Gothenburg,54,111,0.2197746459881824
377,Bright+I+Nwaru,@nwabrite,Bright Nwaru,"Associate Professor, Epidemiology, University of Gothenburg, Sweden",Gothenburg,54,111,0.21824771643710583
378,Bright+Opoku+Ahinkorah,@BAhinkorah,Bright Opoku Ahinkorah,"PhD Candidate at the University of Technology Sydney. Research interest in adolescent health, with emphasis on adolescent pregnancy. Very Enthusiastic.","Sydney, New South Wales",9,14,0.049248953901026925
379,Brigid+M.+Lynch,@drbrigidmlynch,Brigid Lynch,"Cancer epidemiologist studying physical activity across the cancer continuum. President, Australasian Epidemiological Association.","Wurundjeri country, Melbourne",1145,446,5.414836155920728
380,Brigid+M+Lynch,@drbrigidmlynch,Brigid Lynch,"Cancer epidemiologist studying physical activity across the cancer continuum. President, Australasian Epidemiological Association.","Wurundjeri country, Melbourne",1145,446,5.211937460766177
381,Brigid+Lucey,@BrigidLucey,Brigid Lucey,Currently President of the Academy of Clinical Science & Laboratory Medicine,Cork Institute of Technology,54,4,0.42455944230796916
382,Brigida+Barberio,@bribarberio,Brigida Barberio,"Consultant Gastroenterologist, PhD Student and also wife! I like travelling, watching movies and TV series, listening to indie music....and #research",Padova,76,156,0.7543358089218909
383,Brigit+Toebes,@brigittoebes,Brigit Toebes,"Chair, Health law in a global context -  Faculty of Law, University of Groningen",,351,313,2.2485531595628774
384,Brigitta+Zana,@BrigittaZana,Brigitta Zana,"Biotechnologist PhD, infectious diseases, mosquito, bat, BSL-4",,17,19,0.07647622404714476
385,Brigitte+E.+Scammell,@scammell66,Brigitte Scammell,"Professor of Orthopaedics and Consultant Orthopaedic Surgeon.
Dean and Head of School of Medicine, University of Nottingham. All views are my own.",,986,754,6.834065120670383
386,Brigitte+E+Scammell,@scammell66,Brigitte Scammell,"Professor of Orthopaedics and Consultant Orthopaedic Surgeon.
Dean and Head of School of Medicine, University of Nottingham. All views are my own.",,986,754,3.2957119419846137
387,Brigitte+Chabrol,@ChabrolBrigitte,Brigitte CHABROL,Professeur de Pédiatrie #présidente du conseil national professionnel de pédiatrie #Chef de service de Neurologie Pédiatrique#CHU Timone Marseille,,319,77,1.4608811923609548
388,Brigitte+Galliot,@BrigitteGalliot,GALLIOT,"life scientist, regenerate or not, resist to aging or not, but try to evolve and think rationale about our planet","Geneva, Switzerland",502,134,2.8525090105869304
389,Brigitte+Gasser,@BrigitteGasser,Brigitte Gasser,Social scientist interested in narrative research,,19,12,0.04256063198243031
390,Brigitte+Malgrange,@bmalgrange,Brigitte Malgrange,Neurobiologist at @GIGA_ULiege focusing on Deafness and Stroke,"ULiege, Belgium",87,147,0.3511377011452783
391,Brigitte+Robertson,@QolbiaMa22lnt,Brigitte Robertson,"Commercial Manager @OfficialOAFC, Epitome of professionalism, Pole fitness enthusiast, My views are my own (monitored by Broady)","Arlington, Tx",4,15,0.027132486077749127
392,Brijesh+K.+Tiwari,@brijeshktiwari,Brijesh K. Tiwari,Professor Brijesh K Tiwari is a principal research officer at TEAGASC,"Dublin City, Ireland",232,190,1.2650475299700343
393,Brijesh+Kumar,@_docbrij,Brijesh Kumar,"#EdTech professional, India | Global. #K12 #Education. Focus areas: #PISA #CompetencyBasedEducation, #Equity, #ChildrenWithDisability, #Blockchain, #NGDLE.","Coimbatore, India",186,1008,1.0003534958575244
394,Brijesh+Patel,@DrBrijPatel,"Brijesh Patel DO, FACC",Asst. Prof @WVUMedicine| #CardioOncology| #Echocardiography| #HeartFailure| #AI #ML | Believer in individualized and efficient care| tweet=personal view,,415,519,2.0657077641736716
395,Brijesh+Rathi,@DrBrijeshRathi2,Dr Brijesh Rathi,"Faculty at Hansraj College, University of Delhi, India. Young Scientist, Early Career Research Award, DU Excellence Awards and Visiting faculty at MIT USA",,14,5,0.11131394365267613
396,Brijesh+Tiwari,@brijeshktiwari,Brijesh K. Tiwari,Professor Brijesh K Tiwari is a principal research officer at TEAGASC,"Dublin City, Ireland",232,190,0.8975072486587857
397,Brion+S.+Maher,@RehamNoirb,Brion Maher,"Genetics, Behavior, Statistics","Baltimore, MD",124,1133,0.4434662111081642
398,Brion+S+Maher,@RehamNoirb,Brion Maher,"Genetics, Behavior, Statistics","Baltimore, MD",124,1133,0.935425765590219
399,Briony+Hill,@BrionyHill5,Briony Hill,"Research Fellow in preconception, pregnancy and postpartum health - lifestyle, behaviour change, and psychosocial wellbeing.","Melbourne, Victoria",290,232,1.4038685456200284
400,Brisa+S.+Fernandes,@PrecPsycScience,Brisa Fernandes,"Precision Psychiatry and Mental Health Scientist. Psychiatrist, MD, PhD. Aims to change psychiatry with biomarkers and predictive analytics. Views are my own.",,15,35,0.05036899128507948
401,Bristi+Basu,@BristiBasu8,Bristi Basu,Academic medical oncologist running experimental cancer therapy trials at Cambridge (views are my own).,,44,217,0.23507033442056233
402,Brita+Roy,@Broy3445,Brita Roy,"General Internist and Researcher, Promoting Positive Health & Well-Being for all, Medical Educator","New Haven, CT",892,686,6.378760317088114
403,Britni+R.+Belcher,@BelcherBritni,Britni Belcher,Assistant professor at USC | scientist | energy balance behaviors | sedentary time | biopsychosocial outcomes | cancer prevention | mom| sailing and pet lover,"Los Angeles, CA",67,61,0.6809653807654762
404,Britt+Christensen,@brittchris1,Britt Christensen,"Assistant Professor, Media, Public Affairs, Communication.",,179,1187,0.9381174680058928
405,Britt+Hallingberg,@BHallingberg,Britt Hallingberg,"Lecturer @cardiffmet | @CAWR_CMU Public Health & Wellbeing lead | researching health behaviours, wellbeing, structured leisure time use. Views my own.",Cardiff ,776,632,4.784190719454198
406,Britt+Hedman,@BrittsDesign,Britt Hedman,Web design and maintenance. I have the equipment and knowledge to provide you with a professionally designed web site.,"Illinois, USA",15,14,0.08040379879849187
407,Britt+Koskella,@bkoskella,Britt Koskella,"Evolutionary ecologist studying interactions among phages, microbiomes, and plants. Tweets (own view) about science, teaching, gender issues. She/her. BLM.",UC Berkeley,6148,2349,19.836756065935855
408,Britt+Skaathun,@BrittSkaathun,Britt Skaathun,"Assistant Professor, UC San Diego • @UCSanDiego
#infectiousdisease #epidemologist #socialnetworks #HIV
RT≠Endorsements • Opinions: my own • She/Her",UC San Diego,50,95,0.3975497987595576
409,Britta+L+Jewell,@brittajewell,Britta Jewell,"Infectious disease epidemiologist & modeler @Imperial_IDE. @UCBerkeley, @UniofOxford, and @Imperial_IDE alum.","London, England",922,216,3.410453780571754
410,Britta+Becker,@becker_britta,Britta Becker,This is my professional account. If you're looking for @TheWaterFilter_ well that's me too. Just an awesomer version...,,0,0,0.0
411,Britta+Engelhardt,@Britta_in_Bern,Britta Engelhardt,I am devoted to understand how brain barriers maintain CNS immune privilege and I enthusiastically promote young researchers.,"Bern, Switzerland",432,159,0.8727125660190301
412,Britta+Stordal,@BrittaStordal,Britta Stordal,Cancer Researcher and Senior Lecturer,"London, England",72,151,0.3251580936600222
413,Britta+Velten,@BrittaVelten,Britta Velten,Postdoc at DKFZ interested in statistical methods for integration and analysis of heterogeneous omics data,,237,90,0.9281617367352721
414,Britta+Wandschneider,@BrittaWandschn1,Britta Wandschneider,"MD, PhD. Consultant Neurologist. Researcher at Epilepsy Imaging Group Queen Square Institute of Neurology",,34,48,0.1506660009741512
415,Brittany+Dennis,@BrittanyBDennis,Brittany B Dennis,"PhD Clinical Epidemiologist, Internal Medicine Resident McMaster University, Addiction Medicine Scholar. Cat Mom. Ideas are my own.",,280,417,0.994866261488088
416,Brittany+Seymour,@BrittGlobHealth,Dr. Brittany Seymour,"Opinions and Tweets are my own. Global Health Discipline Director & Associate Professor- Oral Health Policy and Epidemiology, Harvard School of Dental Medicine","Boston, MA",731,338,3.4806851832334975
417,Brock+A.+Harpur,@Harpur,Brock Harpur,"Assistant Prof | Leads the @PurdueInsects bee lab. We focus on  evolution, 'omics, sociality, and extension | Canadian in the USA | He/him","West Lafayette, IN, USA",1357,1321,8.323442342725945
418,Brock+A.+Stenfors,@brock_stenfors,Brock Stenfors,Chemistry PhD student at the University of Notre Dame ☘️,"South Bend, IN",217,43,4.014599617481478
419,Bronagh+McGrane,@DrBMcGranePE,Bronagh McGrane,"Lecturer in PE @ DCU IOE, LGFA coach developer & Gaelic 4 Teens ambassador, research areas: FMS, physical activity, school based interventions, sport, wellbeing","Louth, Ireland",1133,1075,5.764437192314373
420,Bronwen+Connolly,@bronwenconnolly,bronwen connolly,"Senior Lecturer, Critical Care
Queen's University Belfast
Critical Care Physiotherapist 
Views my own","Belfast, Northern Ireland",2754,1020,10.85376586130486
421,Bronwen+Martin,@BronwenMMartin,Bronwen Martin,Scientist interested in #OpenScience #OpenAccess #ScienceCommunication #SciencePolicy #Aging #Endocrinology  #Neuroscience    #STEM,"Anvers, Belgique",341,1038,1.1101910784204037
422,Bronwyn+K.+Clark,@_BronwynClark,Bronwyn Clark,"MG Writer. #PitchWars Mentor 2019, #PitchWars Alumna, and #AMM Mentor R6. Profile artwork by @paintandwords. Rep’d by @AlyssaJennette @StonesongNYC",,1278,1259,7.351330115416374
423,Bronwyn+Myers,@BronwynMyers9,Bronwyn Myers,"Chief Specialist Scientist: Alcohol Tobacco and Other Drug Research Unit SAMRC; Professor Dept of Psychiatry and Mental Health, University of Cape Town.",,143,47,0.4862790482804544
424,Brook+Galna,@BrookGalna,Brook Galna,"Biomechanics lecturer @biomedsciNU and @BAM_Research member Newcastle University, UK.","Newcastle Upon Tyne, UK",335,211,1.1015945648505954
425,Brooke+Levis,@blevis_epi,Brooke Levis,"Research Fellow, Centre for Prognosis Research, Keele University. IPDMA, diagnostic accuracy, mental health assessment, depression screening, DEPRESSD Project",,148,245,0.5095070660687124
426,Brooke+Nezami,@BrookeNezami,Brooke T. Nezami,"Assistant Professor. Department of Nutrition at UNC Chapel Hill. Research nutrition, activity, and mHealth interventions. Tweets/opinions are my own. She/her.","Chapel Hill, NC",98,141,0.5613941806564628
427,Brooke+Nickel,@brooke_nickel,Brooke Nickel,"NHMRC Emerging Leader Research Fellow @Sydney_Uni, @wiserhealthcare & @HealthLitLab.","Sydney, Australia",442,190,2.1294175914433957
428,Bru+Cormand,@bcormand,Bru Cormand Rifà,Full Professor of Genetics. Gene hunter. Psychiatry. Teaching medical genetics at the University of Barcelona,Barcelona,382,209,1.4724980792456561
429,Bruce+A.+Hamilton,@bah_lab,Bruce Hamilton,"Genetics, brain development, opinions, and Dad jokes. Professor @ UCSD, but tweets are mine alone. Get vaccinated.",More than 6’ away.,1153,833,8.051960542336698
430,Bruce+A.+Larson,@BrzLarson,Bruce Larson,Manufacturing professional that leads the setup of the system to enable everyone to work efficiently and effectively,"Plymouth, MN",13,19,0.08142969577046318
431,Bruce+A.+Perkins,@BrucePerkins10,Bruce Perkins,"Husband, father, business owner, HVAC professional providing solutions for comfort.","Stoughton, WI",9,75,0.045533528296787924
432,Bruce+A+Larson,@blarsongburg,Bruce Larson,"Political Science Prof., Gettysburg College",,412,772,2.0507749369627777
433,Bruce+A+Perkins,@BrucePerkins10,Bruce Perkins,"Husband, father, business owner, HVAC professional providing solutions for comfort.","Stoughton, WI",9,75,0.03249601842668379
434,Bruce+A+Roe,@brucewroe,Bruce Roe,Computer Scientist,"Pittsford, NY",19,195,0.05902321330384753
435,Bruce+D.+Hammock,@bhdupree,Bruce D. Hammock,"Prof University of CA, CEO EicOsis","Davis, CA",26,2,0.07590858260287853
436,Bruce+D.+Johnson,@BizScaler,Bruce D. Johnson,"Business growth coach, consultant and speaker who helps business owners and entrepreneurs build more scalable and profitable businesses","Mount Pleasant, SC",188,62,0.9485132376187717
437,Bruce+D.+Lindsay,@RogueCoder250,Lindsay Bruce,Coder. Engineer. Designer. Mostly cheap political sarcasm with swearing. Founded https://t.co/7f1YOZCIgA to help pro-indy groups and individuals with logistics.,"Edinburgh, Scotland",8271,976,21.693596667023986
438,Bruce+E.+Landon,@Bruce_Landon,Bruce Landon,"Professor of Health Care Policy and Medicine, Harvard Medical School.",Boston,138,76,0.660146930930629
439,Bruce+F.+Walker,@BWConductor,Bruce Walker,Conductor. Professor. Cellist. BBQ enthusiast!,"Richland, WA",427,340,1.7186928203065217
440,Bruce+G.+Pollock,@BrucePollock13,Bruce Pollock,My tweets are my researched ideas and opinions. Anti “Cancer Cancel Culture” as an excuse to abuse.,,0,2,0.0
441,Bruce+G.+Robinson,@DrBruceRobinson,Bruce Robinson,Medical researcher. Physician. Founder of The Fathering Project. Author. Western Australian of the Year 2013. https://t.co/lupGzkEzic,Perth,709,518,2.4918856853173503
442,Bruce+G+Robinson,@DrBruceRobinson,Bruce Robinson,Medical researcher. Physician. Founder of The Fathering Project. Author. Western Australian of the Year 2013. https://t.co/lupGzkEzic,Perth,709,518,3.124689683882436
443,Bruce+J.+MacLachlan,@MacLachlanBJ,Bruce MacLachlan,"Structural Immunologist at Cardiff University. Big fan of HLA presentation and recognition by innate and adaptive receptors, cycling and cats.","Cardiff, United Kingdom",67,123,0.5327167303378072
444,Bruce+M.+Robinson,@JazzTrot,Bruce Robinson,Jazz-loving Marxist. Friend of Workers' Liberty. Retired info-sys lecturer. Have MS.,"Greater ManchestGB, Manchester",566,868,2.158908320618402
445,Bruce+M+Robinson,@JazzTrot,Bruce Robinson,Jazz-loving Marxist. Friend of Workers' Liberty. Retired info-sys lecturer. Have MS.,"Greater ManchestGB, Manchester",566,868,2.489970111774772
446,Bruce+R.+Schackman,@BruceSchackman,Bruce Schackman,Professor Exec Vice Chair @WCMPopHealthSci Director @CHERISHresearch 🏳️‍🌈he/him,New York City,703,677,4.673095786680205
447,Bruce+S.+Burnham,@brucesbu,Bruce Burnham,Professor of Chemistry Rider University,"Lawrenceville, NJ",7,15,0.06300992916052946
448,Bruce+S.+Weir,@WeirBruce,Bruce Weir,Banking professional who is passionate about the Food & Agribusiness sector and Outdoors. All views expressed are my own.,Rotorua,245,284,1.3705939690125768
449,Bruce+T.+Lamb,@btlamb,Bruce Lamb,Director of Stark Neurosciences Research Institute at Indiana University School of Medicine.  All Tweets are my own (he/him/his).,"Indianapolis, Indiana",1036,284,2.5765373673818814
450,Bruce+V.+Taylor,@sustaincatalyst,Bruce Taylor,"President of Enviro-Stewards, sustainability catalysts, that help companies to increase their profit, sustain the environment and compellingly benefit society.","Ontario, Canada",258,161,1.280845255175461
451,Bruce+W.+S.+Robinson,@DrBruceRobinson,Bruce Robinson,Medical researcher. Physician. Founder of The Fathering Project. Author. Western Australian of the Year 2013. https://t.co/lupGzkEzic,Perth,709,518,3.2535573572734813
452,Bruce+Alexander,@balexander51,Bruce Alexander,Pharmacist/Data Manager - VA Research,,32,53,0.19529201673189475
453,Bruce+Barrett,@BruceBa04400435,Bruce Barrett,"Years of professional experience with the 
airbrush and graphic arts creating designs  that produce the greatest impact for customer satisfaction!",,0,1,0.0
454,Bruce+Barton,@brucerbarton,Bruce Barton,"Bruce is the author of ""Personal Finance Tech for Professionals in Silicon and Beyond"" and offers comprehensive, fee-only wealth management services.","San Jose, CA",10,9,0.07950995975191152
455,Bruce+Crawford,@BCpfilAtes,Dr. Bruce Crawford,Founder and creater of http://t.co/mUWOEdZeMc and http://t.co/7z8IWo9pxy Bruce Crawford MD lives and practices in Northern Nevada.,"ÜT: 39.471719,-119.788652",328,408,2.180334876288915
456,Bruce+Damer,@bdamer,Dr. Bruce Damer,"Chief Scientist, BIOTA, and an Astrobiologist working on the science of life's origins and future sustainable paths for humanity.",Silicon Valley-Santa Cruz Mtns,1542,1038,6.164940366422731
457,Bruce+Friedman,@labsoftnews,Bruce Friedman,Semi-retired University of Michigan Medical School pathologist & informatician. Author of clinical lab & pathology blog called Lab Soft News.,"Ann Arbor, Michigan, USA.",1515,1698,6.701199708110883
458,Bruce+Gordon,@BruceLGordon,Bruce Gordon,"Blessed! Christian, Husband, Dad, Traveler, Professor of Finance @ UNA, Owner: Performance Carts, Bruce Gordon Real Estate, GG Properties",Alabama,116,277,0.48852685141745905
459,Bruce+Hamilton,@bah_lab,Bruce Hamilton,"Genetics, brain development, opinions, and Dad jokes. Professor @ UCSD, but tweets are mine alone. Get vaccinated.",More than 6’ away.,1153,833,4.561596566537659
460,Bruce+Montgomery,@onepresence,Bruce E. Montgomery,"I Am A Peaceful Spirit, Jazzy Metaphysician, TV Producer, Technologist and Co-Founder of The Chicago Convergence.","Chicago, IL",921,0,3.7378716059277037
461,Bruce+Neal,@BruceNeal1,Bruce Neal,"Executive Director @georgeinstitute AU, Professor of Medicine @UNSW, #FoodPolicy warrior and inventor of FoodSwitch.",Sydney,789,64,1.1661773783931775
462,Bruce+Robinson,@DrBruceRobinson,Bruce Robinson,Medical researcher. Physician. Founder of The Fathering Project. Author. Western Australian of the Year 2013. https://t.co/lupGzkEzic,Perth,709,518,2.156497830429561
463,Bruce+Stillman,@StillmanBruce,Bruce Stillman,Biochemist. President of Cold Spring Harbor Laboratory @CSHL,"Cold Spring Harbor, NY ",280,124,0.985862405779016
464,Bruce+Taylor,@sustaincatalyst,Bruce Taylor,"President of Enviro-Stewards, sustainability catalysts, that help companies to increase their profit, sustain the environment and compellingly benefit society.","Ontario, Canada",258,161,1.026046551774655
465,Bruce+Turnbull,@wbturnbull,Bruce Turnbull,Synthetic Chemist - Synthetic Biologist - Coordinator of @synBIOcarb 🇪🇺 - Scottish Borderer - Lots of Cake #Lab149BakeOff - Tweeting for myself,Leeds UK,1816,1408,10.045736605927098
466,Bruce+Walker,@BWConductor,Bruce Walker,Conductor. Professor. Cellist. BBQ enthusiast!,"Richland, WA",427,340,1.5508349342601477
467,Bruce+Wallace,@BarclayWallace,Bruce Wallace,"Associate Professor, UVIC School of Social Work; Scientist, Canadian Institute for Substance Use Research (CISUR)","Victoria, British Columbia",674,425,4.671561755914643
468,Bruce+Whyte,@CareChaplain,Bruce Whyte,"Serving patients and clinicians to provide wholeness and meaning to the soul.

Board Certified Chaplain through the Association of Professional Chaplains.",,6,7,0.01724640313315736
469,Bruna+AraÃºjo+David,@brunaraujodavid,Bruna David,"Cell biologist interested in immune development, neonatal and liver immunity.
Science lover!
Life is short, keep learning!","Calgary, Alberta",137,347,3.163972286374134
470,Bruna+Calsina,@brunacalsina,Bruna Calsina,Cancer genomics and translational researcher at @CNIOStopCancer | Former employee of @LillyPad | @ucl & @UABBarcelona alumni,"Madrid, Comunidad de Madrid",75,209,0.7132716662248035
471,Bruna+Gigante,@BruGig,Bruna Gigante,Clinical cardiologist and Cardiovascular epidemiologist. All twitters reflect only personal opinions.,"Stoccolma, Svezia",6,45,0.012649593183610199
472,Bruna+Rubbo,@bruna_rubbo,Bruna Rubbo,"Clinical research & epidemiology, Chelsea FC season ticket holder, history buff, citizen of the world","Southampton, England",165,601,1.0172570473066271
473,Bruna+Velasques,@bruna_velasques,Drª Bruna Velasques,Descomplicando a neuroCIÊNCIA | Doutora em Saúde Mental. Professora do UFRJ. Psicóloga e Neurocientista | Mãe do Diego,,105,113,0.5095356652516871
474,Bruno+B.+Lima,@BLimaMicro,Bruno Lima,"#microbiologist at the University of Minnesota School of Dentistry studying #biofilms. 
#SwimBikeRun for fun 🏊‍♂️ 🚲 🏃 
#LGBTInSTEM 🏳️‍🌈 (he/him)","Minneapolis, MN",308,309,2.119131775860692
475,Bruno+Beomonte+Zobel,@BrunoZobel,Bruno Beomonte Zobel,"Health care professional, found of research and innovation, medical teacher in spare time.",,125,405,0.6840132486253739
476,Bruno+C.+Medeiros,@BrunoCMedeiros_,Bruno C. Medeiros,Clinical and translational investigator in acute leukemia. Novel therapies in AML,Stanford University,77,0,0.24946918698823348
477,Bruno+R.+S.+de+Paula,@brundepaula,Bruno de Paula,PhD candidate @UCL IOE. I'm interested in game-making and the relationships between games and culture. Portrait by @midio,"London, England",53,62,0.7313370436745326
478,Bruno+Valle+Pinheiro,@_brunopinheiro_,Bruno Pinheiro,"Professor de Direito Constitucional/Professor of Constitutional Law; author: Controle de Constitucionalidade e Hermenêutica Constitucional, Ed. D’Plácido. 🥋",Rio de Janeiro,1723,253,15.780115566436436
479,Bruno+Almeida,@brunoalmeidad,bruno almeida,being a bad bitch is my profession,"Vitória, Brasil",12659,520,69.51950984102402
480,Bruno+Di+Stefano,@DiStefano_Lab,Bruno Di Stefano,Assistant professor @BCMHouston. Studying molecular mechanisms governing stem cell potency and cell fate decisions.,"Boston, MA",555,415,2.215948348159226
481,Bruno+Etain,@BrunoEtain,Etain Bruno,"Professeur de Psychiatrie @Univ_Paris @INSERM @APHP, Visiting Researcher @KingsIoPPN, @Fondamental_Psy, #bipolardisorder #sleep #trauma #genetics #psychiatry",France,203,264,0.6976871241338248
482,Bruno+Federico,@fedebruno88,Federico Bruno,"MD, Radiologist 
PhD Student","L'Aquila, Abruzzes",28,138,0.11021024350284876
483,Bruno+Frediani,@BEFrediani,Bruno Frediani,"'No início, o Universo foi criado. Isso irritou profundamente muitas pessoas e, no geral, foi encarado como uma péssima idéia.'",Magrathea,131,603,0.3877658159126316
484,Bruno+Heleno,@bruno_m_heleno,Bruno Heleno,"Family physician, EBM-nerd and Researcher at Nova Medical School",Portugal,68,69,0.34213817981674755
485,Bruno+Lacarelle,@Bruno_Lacarelle,Bruno Lacarelle,"Professeur de toxicologie, chef de service du laboratoire de pharmacocinétique et toxicologie de l'hopital de la Timone à Marseille",marseille,1,10,0.006263822751574091
486,Bruno+Laviolle,@BLaviolle,Bruno Laviolle,Professor of pharmacology; @chuRennes; @univrennes1; Chef de service @PharmacoRennes,,31,50,0.0975598784366027
487,Bruno+Lefebvre,@FOUNCPTransport,Lefebvre Bruno,Secrétaire Général Adjoint Fédération des Transports et de la Logistique FO-UNCP.                                     Mes tweets n'engage que moi.,Paris,326,117,1.005457459672027
488,Bruno+Lemaitre,@BrunoLemaitre3,Bruno Lemaitre,Professor at EPFL working on the Drosophila innate immune response with an interest on personality and science.,,645,30,1.9254286928353461
489,Bruno+Meloni,@brunosabalerox,Bruno Agustin Meloni,ABOGADO en ejercicio de la profesión.,,143,444,0.7175396406530561
490,Bruno+Mota,@w40nsk1,Bruno Mota,"Professor no Instituto de Física/UFRJ. Física, cosmologia e neurociência (e etc). The answer is 42 in any case.",Rio de Janeiro,431,1112,1.8826367394852686
491,Bruno+Paiva,@BrunoPaiva_UNAV,Bruno Paiva,"Director Flow Cytometry Core
CIMA LAB Diagnostics - University of Navarra",Pamplona,596,128,2.589783206183604
492,Bruno+Pinto,@brunopinto_pt,Bruno Pinto,Father - Husband - Entrepreneur - Manager - Investor - Business Models Specialist - Marketing Professional,Portugal,124,430,0.8242729410360533
493,Bruno+Quesnel,@QuesnelBruno1,Bruno Quesnel,"Médecin, Professeur d’hématologie au CHU de Lille
Chef de l'équipe de recherche Inserm UMR1277/CNRS9020 Team ""Factor of persitence of leukemic cells"", IRCL",,21,16,0.08632888674875738
494,Bruno+Robert,@ProfBobBruno,Robert Bruno,Prof of Labor and Employment Relations Univ of IL,Chicago,93,5,0.4076691525534299
495,Bruno+Rodrigues,@Bruninhofps1,Bruno Rodrigues,🇧🇷 Professional CS:GO Player for @MetaGamingpy,Santos - Baixada ,1001,350,3.166314184757216
496,Bruno+Rossi,@brrossi75,Bruno Rossi,"Assistant Professor at Masaryk University @ Brno, Czech Republic - Software Engineering - Travelling (mostly SE conferences) - IT Enthusiast",,85,201,0.4038034805086489
497,Bruno+Sepodes,@bruno_sepodes,Bruno Sepodes,"Associate Professor with Habilitation (University of Lisbon, Portugal); Vice-Chair of the Committee of Human Medicinal Products (European Medicines Agency)",Portugal,333,209,1.6575438204092352
498,Bruno+Silva,@BFB_Silva,Bruno Silva,Scientist at @INLnano. Using colloid science and nanotechnology to provide better gene delivery solutions for healthcare. Opinions are my own,Braga,137,315,0.5806348143515209
499,Bruno+Silva-Santos,@BSilva_Santos,Bruno Silva-Santos,"Immunologist & Vice-Director @iMMolecular, Professor @Medicina_Lisboa. Fanatic about T cells, Cinema, Travel, Sports. Wannabe President of the Olympic Committee","Lisboa, Portugal",1190,281,4.113975387114579
500,Bruno+Streit,@StreitBruno,Bruno Streit,Biologist (Professor at Frankfurt University),Frankfurt area,0,0,0.0
501,Bruno+Studer,@studerbr,Bruno Studer,Professor of Molecular #Plant #Breeding at @ETH_en,"ETH Zurich, Switzerland",1692,1037,7.983713255521005
502,Bruno+Vieira,@bmpvieira,Bruno Vieira,"Currently at @resurgo_gene. PhD Student at https://t.co/IkG1faRKHX | Mozilla Science Lab 2016 Fellow [#mozfellows16] | Founder of @bionode [#bioinformatics, #nodejs]",London and Lisbon,1236,1723,8.631589965592505
503,Bruno+ZILBERSTEIN,@BZilberstein,Bruno Zilberstein,Professor de Cirurgia da USP e da Fac São Leopoldo Mandic; Professor Honoris Causa Faculdade de Medicina Univ. Federal Goiás,"São Paulo, Brésil",229,93,1.1650980732921372
504,Bruno+Zanoni,@brunozanonif,Bruno Zanoni,PROFESSOR DE QUÍMICA ...,,62,49,0.5580879439932609
505,Bruno+Zilberstein,@BZilberstein,Bruno Zilberstein,Professor de Cirurgia da USP e da Fac São Leopoldo Mandic; Professor Honoris Causa Faculdade de Medicina Univ. Federal Goiás,"São Paulo, Brésil",229,93,0.9833116685883936
506,Bryan+A.+Bassig,@bryanbassig_,Bryan Bassig,"Epidemiologist at CDC/NCHS. Former NCI/DCEG fellow. Cancer & environ/occupational epi, health disparities, applied public health research.","Rockville, MD",25,224,0.10479525089753962
507,Bryan+A.+White,@bryanwhitesolar,Bryan White,"Research Analyst, US distributed solar @woodmackenzie. optimistic on the Energy Transition and the New York Mets.","Boston, MA",364,615,1.5578187750681867
508,Bryan+A+White,@bryanwhitesolar,Bryan White,"Research Analyst, US distributed solar @woodmackenzie. optimistic on the Energy Transition and the New York Mets.","Boston, MA",364,615,1.119351811830969
509,Bryan+D.+Merrill,@bryan_d_merrill,Bryan Merrill,PhD candidate studying the human gut microbiome @LabSonnenburg @StanfordMed @StanfordBiosci (views my own),"Stanford, CA",77,445,0.40869522772545547
510,Bryan+E.+Shepherd,@CoachShep7,Bryan Shepherd,"Owner/head instructor at Beast Baseball, Owner of all sport athlete advising. 25+ years of college and professional coaching experience.","Mount Horeb, WI",402,476,2.192022013137732
511,Bryan+E+Shepherd,@CoachShep7,Bryan Shepherd,"Owner/head instructor at Beast Baseball, Owner of all sport athlete advising. 25+ years of college and professional coaching experience.","Mount Horeb, WI",402,476,1.9413580085227664
512,Bryan+K.+Ward,@WardensMD,Bryan Ward,"Ear surgeon-scientist @HopkinsMedicine, dad, husband, sci-fi lover, part-time historian and philosopher. views are my own.","Baltimore, MD",289,264,1.4462218501494704
513,Bryan+M.+Wong,@BryanMWong,Prof. Bryan M. Wong,"Professor in the Departments of Chemical & Environmental Engineering, Materials Science & Engineering, Chemistry, and Physics & Astronomy @UCRiverside #CompChem","Riverside, CA",958,1175,4.451725833973668
514,Bryan+M+Gannon,@BryanMGannon,Bryan Gannon,"PhD nutritional sciences: passionate about nutrition, public health, biking, and science | With @MehtaRG @CornellNutri","Ithaca, NY",187,448,0.8445078265892244
515,Bryan+R.+Lajoie,@bryanlajoie,Bryan Lajoie,computational biologist focused on human disease. currently @ element bio. views are my own.,"San Diego, CA",120,242,0.3512263356231219
